Hour,Electricity Demand (kWh),Space Heating Demand (kWh),Space Cooling Demand (kWh),Domestic Hot Water Demand (kWh),Solar Irradiance (kW/m2),Wind Speed (m/s),Ambient Temperature (C)
4003,0.71,3.49,1.51,1.12,0.12,6.19,2.84
4004,0.61,0.6,0.36,0.44,0.83,9.4,10.45
4005,1.52,2.99,1.72,0.84,0.08,6.42,18.7
4006,1.49,3.68,1.68,0.68,0.95,5.15,17.48
4007,0.53,1,0.2,1.01,0.28,6.66,-0.07
4008,1.4,1.96,0.44,1.4,0.88,8.99,-4.56
4009,0.72,0.01,2.14,0.75,0.28,11.44,34.2
4010,0.56,3.29,2,0.82,0.41,0.21,34.34
4011,1.28,3.37,0.87,1.33,0.21,9.36,17.07
4012,0.84,3.66,0.55,1.02,0.05,1.89,12.65
4013,1.31,2.92,2.03,0.27,0.6,12.75,33.34
4014,1.58,1.36,1.61,0.24,0.81,8.32,13.83
4015,1.89,0.72,0.75,1.41,0.73,5.97,13.89
4016,1.01,1.35,2.94,0.46,0.97,12.07,-0.08
4017,1.13,0.91,1.13,1.39,0.91,10.98,9.61
4018,0.75,0.43,2.06,0.77,0.14,13.74,20.92
4019,1.58,1.86,2.65,0.8,0.63,10.87,24.22
4020,1.73,0.82,2.86,1.49,0.47,2.59,34.83
4021,1.56,0.26,2.69,0.87,0.19,13.07,26.62
4022,1.16,2.22,1.78,1.47,0.75,1.42,22.24
4023,1.34,2.28,0.63,1.03,0.48,12.04,2.28
4024,0.83,2.03,2.78,1.2,0.7,14.1,9.39
4025,1.6,0.7,2.93,0.29,0.06,14.26,24.04
4026,1.49,1.67,0.02,0.22,0.11,10.16,14.04
4027,1.89,2.81,2.73,1.14,0.44,13.58,25.49
4028,1.35,2.88,2.66,0.86,0.02,14.47,21.47
4029,1.62,2.41,1.35,1.24,0.19,11.62,13.65
4030,1.25,3.33,2.38,0.43,0.84,5.44,8.4
4031,1.75,2.47,2.85,1.26,0.47,4.54,1.41
4032,1.39,0.24,0.93,1.06,0.72,3.72,12.64
4033,1.2,3.08,1.41,0.53,0.16,6.98,21.96
4034,0.72,1.54,0.42,1.38,0.38,10.02,-2.1
4035,1.71,0.88,0.88,1.46,0.82,0.65,7.69
4036,1.71,0.14,2.65,0.8,0.04,10.38,0.38
4037,0.97,1.3,0.54,0.79,0.32,4.9,6.68
4038,1.16,2.45,2.83,0.94,0.51,5.24,27.28
4039,1.12,3.41,1.68,1.13,0.62,3.41,10.82
4040,1.01,1.25,2.11,1.11,0.15,2,29.88
4041,1.24,2.03,1.18,0.89,0.93,10.24,24.27
4042,1.26,0.63,0.7,1.39,0.74,2.17,9.66
4043,0.62,1.8,1.45,0.41,0.06,9.38,1.48
4044,0.89,1.14,0.92,0.46,0.45,13.11,-4.92
4045,0.58,0.58,1.56,1.14,0.89,12.64,11.99
4046,1.59,1.96,0.3,1.16,0.9,5.42,15.15
4047,1.58,3.81,2.75,0.71,0.88,11.03,12.92
4048,0.93,2.44,0.82,0.59,0.12,8.89,9.67
4049,1.37,2.87,1.9,0.26,0.5,2.97,24.08
4050,1.14,0.88,1.94,0.7,0.45,4,-1.23
4051,0.73,1.71,0.75,0.52,0.42,7.36,-0.68
4052,1.51,3.49,2.99,1.28,0.38,13.88,16.88
4053,1.66,1.72,1.45,0.84,0.86,9.43,-3.77
4054,1,1.23,2.26,0.93,0.79,7.69,10.89
4055,1.27,0.63,0.09,1.17,0.19,9.69,2.85
4056,0.77,2.33,0.69,0.59,0.78,2.27,3.49
4057,0.59,0.28,0.32,1.35,0.68,1.87,14.38
4058,0.89,0.75,1.04,0.71,0.05,14.56,16.46
4059,1.73,0.81,2.23,0.34,0.1,12.56,11.54
4060,1.66,0.15,0.42,1.31,0.95,8.24,0.37
4061,0.85,0.37,1.24,1.4,0.53,7,13.82
4062,0.59,1.7,0.59,0.48,1,5.12,26.98
4063,1.74,0.03,0.68,1.05,0.97,8.01,22.1
4064,1.43,1.85,0.15,1.09,0.77,14.36,15.74
4065,0.63,3.88,1.52,0.52,0.32,0.98,0.68
4066,1.57,1.82,0.5,0.76,0.19,8.8,19.3
4067,1.28,3.24,0.92,0.72,0.01,14.26,15.19
4068,0.71,0.01,1.07,1.02,0.16,11.57,28.01
4069,0.53,2.97,0.68,0.84,0.88,11.8,1.1
4070,1.76,1.84,1.43,1.08,0.71,9.65,10.54
4071,0.93,1.17,0.27,0.32,0.85,13.94,-0.97
4072,1.32,0.02,2.12,0.58,0.84,13.99,15.97
4073,0.72,2.35,0.87,0.27,0.97,7.76,31.14
4074,1.52,3.11,1.53,0.92,0.7,11.19,32.76
4075,0.58,0.68,0.34,0.75,0.56,14.82,-3.79
4076,1.75,3.15,0.08,1.46,0.59,6.73,9.76
4077,1.35,3.48,1.05,0.6,0.68,5.37,8.02
4078,0.65,3.02,2.02,0.56,0.46,1.65,20.33
4079,1.33,3.24,1.35,0.66,0.68,10.01,23.34
4080,1.13,2.66,2.12,0.82,0.59,2.1,2.52
4081,0.91,3.16,1.96,1,0.16,8.29,2.36
4082,1.51,3.47,2.13,0.67,0.11,0.91,6.38
4083,1.72,2.1,2.56,1.07,0.22,14.92,-3.98
4084,0.68,3.33,0.81,1.14,0.78,9.93,17.94
4085,0.91,3.16,0.02,1.16,0.26,0.83,22.91
4086,0.74,0.78,0.15,1.3,0.86,10.76,-4.8
4087,1.18,1.15,0.66,0.4,0.29,9.14,12.32
4088,0.51,3.51,0.33,1.17,0.62,10.44,13.27
4089,1.54,1.59,0.86,0.58,0.87,12.18,19.41
4090,0.56,3.99,1.81,1.14,0.85,10.59,25.09
4091,0.78,2.64,2.3,0.24,0.84,2.55,29.67
4092,1.77,0.19,0.47,0.48,0.82,4.01,1.26
4093,1.73,1.55,1.73,0.83,0.69,2.8,10.84
4094,1.43,3.17,2.69,0.97,0.72,10.64,18.95
4095,1.57,1.48,2.23,1.43,0.95,6.03,14.58
4096,1.33,1.51,0.47,0.52,0.78,0.95,21.6
4097,1.09,1.38,1.93,0.88,0.14,7.3,17.7
4098,0.86,1.32,1.44,0.84,0.23,6.73,8.1
4099,1.86,0.78,0.75,1.1,0.34,8.44,31.72
4100,1.85,0.76,1.58,0.52,0.09,13.7,27.9
4101,1.84,3.18,0.48,1.41,0.88,12.13,24.14
4102,1.87,2.46,0.95,1.49,0.42,11.38,10.49
4103,1.65,1.09,1.08,1.35,0.43,3.09,-2.93
4104,1.84,3.13,1.01,1.12,0.41,13.61,34
4105,1.81,2.38,0.27,1.08,0.47,5.51,22.11
4106,0.9,1.91,1.25,1.18,0.2,6.62,6.48
4107,1.77,2.47,2.53,0.93,0.73,0.5,13.19
4108,1.34,1.22,2.52,0.51,0.88,9.77,4.92
4109,1.28,2.96,1.26,1.36,0.72,14.15,24.65
4110,0.68,0.94,0.04,1.05,0.27,3.88,20.78
4111,1.78,2.23,1.74,0.3,0.03,3.31,15.78
4112,0.98,3.38,1.79,0.85,0.14,2.91,10.02
4113,0.82,2.09,2.57,0.78,0.68,4.61,7.26
4114,1.74,2.03,2.51,0.32,0.76,11.17,27.52
4115,0.54,2.59,2.32,0.68,0.49,12.64,10.7
4116,0.8,1.26,2.57,0.47,0.03,10.98,14.07
4117,1.24,3.96,0.75,0.26,0.49,4.63,1.95
4118,1.83,2.81,1.7,0.23,0.89,9.81,29.61
4119,1.15,1.34,2.8,0.56,0.12,9.06,4.85
4120,0.76,2.54,1.59,0.32,0.91,7.35,1.8
4121,1.23,3.51,2.67,1.29,0.95,7.78,19.98
4122,1.44,3.37,2.72,1.47,0.66,7.88,0.37
4123,1.81,3.78,0.21,0.8,0.06,2.73,34.12
4124,1.71,0.62,2.75,0.97,0.34,13.92,17.39
4125,1.67,1.27,0.3,1.43,0.86,10.04,-3.17
4126,1.24,3.78,1.21,1.18,0.72,13.45,0.59
4127,1.86,2.61,2.26,0.86,0.49,4.59,32.32
4128,1.82,3.67,0.21,0.75,0.16,6.18,16.92
4129,1.64,1.02,1.19,1.17,0.48,5.13,9.2
4130,1.69,2.97,0.7,0.62,0.09,12.75,22.81
4131,1.86,2.06,2.12,1.17,0.62,8.83,9.89
4132,1.01,2.6,2.61,0.29,0.78,3.49,0.72
4133,1.93,2.27,2.3,0.87,0.63,7.63,24.79
4134,0.7,2.93,1.65,0.44,0.01,8.3,9.58
4135,1.82,0.82,2.53,1.15,0.67,12.84,34.24
4136,0.84,3.9,2.57,1.46,0.49,3.97,5.71
4137,1.33,2.04,1.49,1.05,0.43,4.04,-1.88
4138,1.36,3.28,2.56,1.14,0.28,2.15,18.26
4139,1.9,0.08,2.68,0.41,0.12,2.1,-0.99
4140,0.91,0.61,0.03,0.91,0.56,1.53,26.83
4141,1.13,1.33,2.64,1.21,0.83,0.37,9.83
4142,0.72,2.84,0.17,1.31,0.99,3.34,33.94
4143,1.32,1.24,0.9,1.47,0.63,3.87,31.01
4144,1.09,3.11,1.66,1.17,0.31,8.55,15.61
4145,1.17,0.53,0.73,0.95,0.41,3.95,9.18
4146,0.6,1.78,2.63,1.26,0.72,13.88,34.58
4147,1.75,1.28,2.36,0.54,0.48,0.68,9.31
4148,1.03,0.39,1.45,1.33,0.52,6.39,-0.38
4149,1.45,2.9,2.51,1.22,0.14,2.6,24.48
4150,1.45,3.51,2.45,0.42,0.54,0.67,28.16
4151,1.45,3.5,0.99,1.31,0.97,5.73,7.96
4152,0.85,1.06,0.19,1.28,0.34,10.09,6.08
4153,0.66,3.87,1.78,1.4,0.17,13.58,12.15
4154,0.61,3.2,2.36,1.37,0.47,0.49,2.94
4155,1.35,0.96,2.78,0.63,0.52,12.09,30.73
4156,0.64,3.51,0.11,0.86,1,2.27,29.14
4157,1.1,0.76,1.21,1.25,0.21,5.67,23.23
4158,1.81,0.59,2.05,1.2,0.54,9.72,28.04
4159,0.62,3.52,1.37,1.25,0.37,4.2,5.06
4160,1.48,3.7,0.67,0.5,0.75,13.65,14.13
4161,1.14,1.81,1.78,1.23,0.87,8.05,9.65
4162,1.79,2.61,2.63,0.33,0.76,9.37,27.96
4163,1.61,1.28,2.83,0.83,0.19,2.73,0.93
4164,0.68,3.06,2.98,0.27,0.65,6.67,2.57
4165,0.94,3.35,1.15,0.79,0.23,0.02,19.63
4166,1.46,0.8,0.61,0.52,0.98,7.56,10.4
4167,0.76,2.77,2.42,0.87,0.56,7.43,0.95
4168,1.7,3.55,2.06,1.13,0.43,5.84,-0.65
4169,0.87,3.07,2.26,0.24,0.65,8.91,13.94
4170,1.75,3.17,1.09,0.54,0.6,11.24,24.54
4171,0.9,0.92,0.67,0.39,0.92,0.83,-2.87
4172,0.83,3.3,2.34,0.44,0.51,4.12,24.66
4173,1.91,2.03,1.34,0.96,0.76,2.26,19.57
4174,1.45,0.05,2.07,0.28,0.98,3.94,8.19
4175,1.31,2.67,2.62,1.12,0.63,2.4,-3.78
4176,0.57,3.1,1.03,0.5,0.14,12.03,33.79
4177,0.92,3.13,2.3,1.45,1,0.88,10.05
4178,0.69,3.73,1.36,1.41,0.64,1.87,32.36
4179,0.74,0.34,1.85,1.15,0.99,9.03,15.99
4180,0.89,0.75,2.48,1.22,0.52,14.9,17.74
4181,0.7,3.7,0.9,1.13,0.05,13.8,8.18
4182,1.85,3,2.52,1.14,0.93,9.22,11.22
4183,0.63,1.67,0.62,0.43,0.89,5.98,21.4
4184,1.79,0.55,1.27,1.4,0.49,5.8,13.69
4185,1.22,3.35,0.83,1.24,0.35,12.99,10.8
4186,0.73,1.24,0.05,0.94,0.15,0.51,-3.84
4187,1.29,3.34,0.04,0.42,0.93,4.34,9.76
4188,1.79,2.23,0.59,1.21,0.52,2.12,2.63
4189,1.83,2.15,1.94,1.38,0.78,3.06,32.24
4190,1.03,2.41,1.58,0.81,0.62,1.19,5.27
4191,1.51,1.68,0.96,0.31,0.12,3.87,-2.54
4192,0.6,0.44,1.33,1.46,0.05,3.62,1.67
4193,1.25,2.34,2.03,0.42,0.38,3.9,0.09
4194,0.84,1.69,2.67,1.23,0.01,3.37,2.16
4195,0.95,1.84,0.78,1.48,0.21,3.37,4.67
4196,1.2,2.4,2.64,0.58,0.92,12.26,33.13
4197,1.87,0.57,1.23,0.33,0.58,10.95,25.63
4198,1.74,0.96,1,1.25,0.69,10.28,4
4199,1.07,1.15,1.71,0.29,0.78,3.57,22.11
4200,1.22,1.51,1.07,0.89,0.95,8.98,20.8
4201,1.81,0.39,0.87,1.15,0.15,11.23,8.09
4202,0.62,0.63,2.7,1.03,0.58,3.16,9.81
4203,1.66,1.02,1.22,0.94,0.39,6.26,31.07
4204,0.75,2.78,0.45,0.53,0.38,8.59,14.23
4205,0.92,2.68,1.3,0.61,0.68,3.76,32.71
4206,0.83,0.04,0.87,0.67,0.2,10.94,2.31
4207,1.33,0.28,1.54,1.05,0.63,8.7,-3.51
4208,0.84,2,1.93,1.08,0.36,4.58,14.68
4209,1.18,1.7,0.05,0.43,0.12,5.44,18.58
4210,0.54,1.18,2.36,0.23,0.85,5.48,15.8
4211,0.97,2,1.4,0.3,0.14,7.05,21.04
4212,1.57,0.8,1.63,1.09,0.51,8.16,9.15
4213,1.15,0.54,0.41,0.32,0.28,7.18,0.38
4214,1.74,0.28,1.31,0.61,0.95,2.28,6.2
4215,1.19,0.29,1.48,0.92,0.61,9.98,-2.1
4216,1.81,0.79,0.12,0.92,0.64,1.56,-2.19
4217,1.09,3.16,0.53,0.9,0.54,2.51,10.02
4218,1.04,3.21,1.1,1.4,0.9,9.82,30.88
4219,0.89,3.65,0.54,0.78,0.3,6.72,14.76
4220,1.19,2.64,0.96,0.42,0.57,8.56,1.78
4221,1.75,1.5,2.64,0.27,0.22,4.16,9.45
4222,1.57,0.51,1.87,0.87,0.2,1.02,34.11
4223,0.76,0.88,1.65,0.99,0.48,14.09,-3.76
4224,1.89,1.76,2.53,0.95,0.27,7.79,19.06
4225,1.17,1,0.71,0.45,0.75,6.89,19.41
4226,0.83,1.26,2.93,0.26,0.04,14.01,30.26
4227,1.91,3.78,0.66,1.34,0.12,14.76,11.64
4228,1.16,1.54,1.48,0.78,0.62,0.83,11.86
4229,0.76,0.61,2.89,0.34,0.08,4.79,33.76
4230,1.73,1.38,1,1.06,0.32,9.56,-4.04
4231,1.25,0.15,0.5,1.05,0.63,13.4,19.3
4232,0.8,2.47,1.22,1,0.22,8.77,23.07
4233,1.52,2.88,0.7,0.5,0.78,14.76,-1.36
4234,1.97,1.61,2.25,1.31,0.96,10.23,23.54
4235,0.63,2.2,2.76,0.31,0.94,0.16,21.39
4236,1.15,3.5,2.57,0.35,0.09,7.36,-4.35
4237,1.27,0.82,0.43,0.7,0.72,14.33,29
4238,1.49,0.66,2.85,1.37,0.76,2.69,20.48
4239,0.84,1.03,2.21,1.27,0.18,14.04,32.07
4240,0.78,0.88,2.27,1.38,0.09,4.02,20.06
4241,1.61,3.5,1.65,1.11,0.1,13.69,12
4242,1.5,0.18,1.12,1.01,0.5,9.15,19.65
4243,0.87,0.34,0.76,1.22,0.87,5.52,29.53
4244,0.59,3.76,1.41,0.46,0.33,13.66,11.85
4245,1.7,1.57,2.41,0.34,0.17,1.32,11.91
4246,1.52,1.98,0.93,1.41,0.6,11.07,-0.86
4247,1.82,2.32,2.67,1.29,0.38,8.9,17.54
4248,0.6,3.13,0.44,0.75,0.98,5.68,12.75
4249,1.23,2.85,0.15,1.21,0.53,8.04,10.12
4250,0.74,1.49,1.51,0.86,0.02,11.44,-3.43
4251,1.51,3.21,2.79,0.22,0.76,1.76,19.16
4252,0.87,2.99,2.51,0.22,0.94,3.97,-2.78
4253,0.89,3.52,0.41,0.81,0.75,5.71,-1.46
4254,1.57,1.01,0.42,0.96,0.28,10.99,-2.91
4255,1.74,0.38,0.29,1.27,0.87,13.53,6.36
4256,1.87,0.42,2.36,0.97,0.59,13.99,15.68
4257,0.62,2.18,0.99,0.97,0.52,5.7,18.82
4258,1.71,1.05,1,1.5,0.19,6.87,8.81
4259,1.96,0.18,2.78,0.2,0.43,13.61,22.81
4260,0.58,3.35,1.92,0.65,0.69,0.84,26.25
4261,1.87,3.45,2.79,1.41,0.83,11.01,19.11
4262,1.93,1.47,0.72,0.7,0.88,8.94,8.66
4263,0.79,0.53,2.23,0.51,0.55,2.73,-3.17
4264,0.96,0.99,0.28,0.77,0.87,12.01,32.46
4265,0.95,2.71,2,1.2,0.96,1.13,34.13
4266,1.92,2.75,1.29,1.19,0.7,1.89,-1.09
4267,0.52,2.81,0.09,0.63,0.87,8.23,11.73
4268,1.33,3.42,0.25,0.35,0.95,4.62,3.8
4269,1.37,3.54,2.82,1.45,0.35,1.61,16.83
4270,1.48,3.96,2.35,0.5,0.82,10.49,14.48
4271,0.84,1.41,2.4,1.41,0.61,2.38,3.58
4272,1.21,3.65,0.1,0.72,0.77,14.71,31.36
4273,1.12,2.57,2.25,1.48,0.11,14.06,30.72
4274,1.11,0.49,0.08,0.52,0.91,6.08,22.84
4275,1,2.37,0.85,1.07,0.72,11.21,23.78
4276,1.91,1.52,1.49,1.27,0.25,12.1,8.96
4277,1.48,0.3,1.18,0.73,0.68,8.39,10.49
4278,1.64,0.99,0.42,0.39,0.66,12.16,14.52
4279,0.98,2.85,2.95,0.33,0.55,11.93,20.58
4280,0.5,1.39,0.16,0.49,0.18,14.81,12.37
4281,1.93,2.58,2.05,0.27,0.52,4.33,5.87
4282,1.81,3.64,2.37,1.33,0.64,13.16,29.76
4283,1.19,2.36,0.83,1.12,0.55,10.04,6.17
4284,1.08,3.81,1.22,1.05,0.33,2.6,19.96
4285,1.17,1.37,0.25,1.1,0.7,2.39,23.44
4286,0.9,3.51,1.08,1.03,0.64,11.81,19.94
4287,1.42,3.85,1.04,0.25,0.23,6.12,25.09
4288,1.96,2.07,0.09,0.95,0.38,13.15,3.06
4289,0.6,1.45,0.79,0.74,0.47,7.71,10.7
4290,1.68,1.4,2.78,0.41,0.85,4.61,17.33
4291,0.59,1.7,2.03,1.07,0.1,12.81,29.84
4292,1.79,2.64,0.04,0.76,0.4,13.71,33.72
4293,0.72,1.75,1.55,0.53,0.09,7.14,29.38
4294,1.24,3.05,1.04,1.15,0.68,7.34,0
4295,1.26,2.76,2.95,0.28,0.41,13.73,-3.85
4296,1.45,1.3,2.85,0.68,0.29,5.11,6.31
4297,1.41,3.22,2.06,0.56,0.84,9.53,11.29
4298,1.55,3.03,0.06,0.36,0.99,0.65,0
4299,1.77,2.47,0.44,0.37,0.73,14.99,22.18
4300,0.55,0.75,2.28,0.48,0.01,2.03,31.02
4301,1.61,2.02,1.81,0.23,0.97,2.67,10.97
4302,0.58,1.81,0.7,0.98,0.14,2.3,34.56
4303,1.69,0.08,0.32,0.86,0.3,0.7,6.69
4304,1.69,3.97,1.1,1.31,0.42,11.64,11.16
4305,0.79,2.83,2.63,1.23,0.14,6.76,-2.79
4306,0.81,1.48,1.62,1.47,0.43,6.98,23.44
4307,0.62,2.31,0.88,0.23,0.9,14.59,-4.47
4308,0.86,3.56,0.27,0.85,0.26,3.29,12.2
4309,1.25,0.15,0.54,0.42,0.27,0.85,4.05
4310,1.08,1.04,1.25,0.81,0.59,9.12,20.2
4311,0.84,3.79,2.27,0.44,0.67,6.6,3.59
4312,1.43,0.06,1.46,0.3,0.59,3.02,17.36
4313,1.28,2.32,1.41,1.28,0.08,7.12,-1.68
4314,0.69,2.15,0.83,0.76,0.88,2.81,-1.88
4315,0.98,3.92,0.75,1.09,0.73,14.34,30.44
4316,1.91,1.72,2.02,0.35,0.57,13.42,26.38
4317,1.51,3.9,2.14,0.95,0.45,7.84,33.7
4318,1.93,0.05,2.89,1.28,0.97,6.74,4.1
4319,1.18,1.36,2.7,1.36,0.84,4.22,6.7
4320,0.53,1.08,1.76,0.59,0.26,10.85,34.93
4321,1.69,0.58,1.83,1.38,0.63,2.07,22.2
4322,0.64,3.98,1.17,0.83,0.23,11.07,7.07
4323,1.91,3.89,2.92,0.52,0.57,6.84,5.31
4324,0.96,0.58,2.75,0.92,0.73,8.48,28.66
4325,1.49,2.09,0.13,1.09,0.47,10.32,11.01
4326,1.77,0.38,1.12,0.31,0.3,10.95,-3.37
4327,1.19,0.5,1.2,1.1,0.34,10.2,9.49
4328,1.15,2.84,0.81,1.18,0.86,4.62,2.09
4329,0.78,3.47,1.32,0.76,0.07,2.24,-1.26
4330,1.59,2.42,1.35,1.36,0.91,4.47,30.46
4331,1.01,0.45,2.33,0.49,0.26,2.62,22.79
4332,1.44,3.3,2.73,0.45,0.62,12.89,21.83
4333,0.87,3.45,1.58,1.01,0.5,0.98,19.02
4334,1.61,2.24,0.77,0.8,0.31,8.58,23.77
4335,1.54,1.67,1.61,0.74,0.9,13.84,32.9
4336,0.51,1.63,0.53,1.01,0.83,14.61,-2.29
4337,0.65,2.64,1.05,0.67,0.55,13.28,-3.58
4338,0.62,3.66,1.61,1.45,0.41,7.5,17.45
4339,0.55,3.63,2.86,1.37,0.68,9.21,11.25
4340,0.59,3.14,1.41,0.6,0.12,2.21,-1.7
4341,0.99,1.42,0.03,0.45,0.95,3.18,33.23
4342,1.65,1.61,0.33,0.43,0.89,3.32,25.64
4343,1.3,2.91,1.2,1.21,0.51,8.02,14.45
4344,0.66,2.77,0.51,0.99,0.83,8.32,33.2
4345,0.58,3.67,0.97,0.9,0.92,3.24,25.79
4346,0.66,3.17,2.61,1.05,0.13,2.86,-1.93
4347,1.06,3.91,2.07,1.16,0.26,11.32,21.58
4348,0.96,0.89,1.91,0.49,0.21,3.7,13.88
4349,1.56,3.69,1.18,1.47,0.66,8.76,18.67
4350,1.44,3.9,2.31,0.66,0.98,3.11,4.63
4351,1.82,3.62,3,0.3,0.03,7.64,13.68
4352,1.92,0.56,1,1.29,1,9.31,8.16
4353,0.5,3.77,2,0.89,0.12,14.65,12.73
4354,0.84,3.03,0.61,0.22,0.62,1.76,-0.84
4355,0.62,1.45,0.3,0.99,0.68,10.58,0.15
4356,0.96,1.82,2.91,1.01,0.04,11.01,13.33
4357,1.4,0.26,0.61,1.08,0.33,3.33,4.69
4358,0.9,1.65,0.31,0.97,0.47,6.09,5.88
4359,0.78,0.99,1.45,0.55,0.91,10.64,20.85
4360,1.08,2.88,2.09,1.5,0.7,10.68,-4.48
4361,0.53,2.26,0,0.81,0.63,7.51,13.37
4362,1.96,3.74,1.2,0.7,0.13,10.46,17.91
4363,1.95,2.48,1.41,0.2,0.29,8.14,8.87
4364,0.7,3.11,1.48,0.94,0.44,1.74,16.23
4365,0.78,3.25,1.2,0.83,0.3,11.66,28.14
4366,1.35,0.27,0.46,1.43,0.44,3.93,12.69
4367,0.96,3.28,2.14,0.62,0.92,14.6,14.44
4368,0.52,0.66,1.91,1.08,0.61,12.08,29.36
4369,0.58,0.88,0.1,1.02,0.52,11.36,13.32
4370,1.51,2.01,1.81,1.23,0.54,11.91,32.74
4371,0.82,1.86,2.26,1.23,0.77,5.81,31.02
4372,1.31,3.82,0.38,0.2,0.98,1.04,-3.52
4373,0.91,1.79,2.29,1.33,0.98,5.97,2.27
4374,1.29,1.68,0.78,0.35,0.66,4.88,14.81
4375,2,3.28,2.03,0.27,0.37,3.26,0.35
4376,1.54,1.18,2.01,1.25,0.59,5.07,29.99
4377,1.02,3.2,1.7,0.31,0.07,9.94,12.79
4378,1.95,0.98,0.67,0.26,0.16,0.95,1.45
4379,0.55,1.62,0.82,0.51,0.89,4.68,22.13
4380,0.76,3.65,1.42,0.88,0.75,4.4,23.01
4381,1.25,1.89,0.08,1.33,0.24,3.15,15.44
4382,0.94,3.72,1.25,1.39,0.41,13.47,0.84
4383,1.58,1.51,2.08,0.79,0.06,12.83,27.51
4384,0.55,0.35,0.01,0.97,0.86,9.82,30.63
4385,0.91,3.05,2.22,1.4,0.3,12.13,31.87
4386,1.78,0.99,1.29,1.21,0.55,10.63,3.59
4387,1.1,2.99,1.46,1.01,0.99,1.03,18.96
4388,0.8,2.3,0.67,0.52,0.18,12.23,23.06
4389,1.28,3.9,1.24,0.81,0.88,6.88,-1.89
4390,1.05,1.7,1.52,1.32,0.26,7.61,17.39
4391,0.92,3.58,2.94,0.6,0.11,14.68,-3.08
4392,1.77,2.9,1.86,0.39,0.02,14.29,27.13
4393,1.78,0.58,1.89,0.4,0.84,4.32,30.33
4394,1.13,2.85,2.99,1.2,0,5.59,20.3
4395,1.41,2.55,0.11,0.41,0.95,0.38,32.09
4396,1.58,3.91,2.61,0.26,0.18,6.34,5.89
4397,1.56,1.83,2.37,1.31,0.81,4.36,23.31
4398,1,2.22,0.14,1.41,0.86,0.68,2.09
4399,1.49,2.84,1.33,1.48,0.08,4.85,-2.36
4400,1.88,2.43,1.55,0.68,0.38,8.85,11.98
4401,0.58,2.46,0.1,1.38,0.28,5.89,33
4402,0.61,1.81,1.34,0.4,0.02,3.48,28.09
4403,1.78,3.08,2.64,1.49,0.42,1.12,23.03
4404,1.4,0.04,0.09,0.22,0.49,12.07,21.66
4405,0.54,0.63,2.48,0.65,0.68,3.31,5.34
4406,1.65,3.41,2.52,1.17,0.24,12.84,-3.78
4407,0.66,3.72,0.01,0.98,0.85,5.56,13.26
4408,1.76,2.95,2.73,0.72,0.48,13.95,7.32
4409,1.22,0.63,2.15,0.3,0.67,14.88,9.38
4410,0.94,2.32,2.82,1.44,0.47,8.33,-2.12
4411,1.43,1.12,2.79,1.31,0.08,7.98,5.49
4412,0.76,2.25,0.74,0.3,1,5.41,18.17
4413,1.31,0.82,1.55,1.18,0.78,13.46,31.22
4414,1.23,0.55,1.47,0.42,0.98,4.36,27.74
4415,0.86,0.77,2.13,1.45,0.82,8.87,6.9
4416,1.5,3.57,1.75,0.29,0.46,9.35,25.89
4417,1.03,0.23,2.89,0.44,0.69,14.18,22.49
4418,1.78,0.14,1.51,1.2,0.84,6.38,0.74
4419,0.63,0.76,1.12,0.22,0.64,3.97,18.51
4420,1.66,2.27,2.98,1.34,0.65,5.5,26.68
4421,1.16,0.36,1.78,0.54,0.2,10.51,0.47
4422,0.97,2.08,1.23,1.32,0.11,3.47,-2.45
4423,1.91,2.88,1.06,0.81,0.73,7.42,-2.36
4424,0.8,2.16,2.12,0.27,0.57,0.69,15.86
4425,1.13,3.07,2.67,0.9,0.73,9.14,-3.66
4426,1.2,2.08,0.53,1.14,0.58,7.45,14.05
4427,0.95,0.36,1.12,0.9,0.01,6.99,16.14
4428,0.63,2.68,0.2,1.37,0.97,3.36,3.15
4429,1.86,1.31,0.82,1.18,0.12,10.61,33.8
4430,1.84,2.08,2.75,0.36,0.71,13.55,24.83
4431,1.44,3.98,1.94,0.26,0.61,4.63,10.8
4432,0.99,1.1,2.74,0.67,0.25,14.81,29.68
4433,1.44,3.28,1.67,1.12,0.83,1.64,12.78
4434,1.95,2.26,2.96,1.31,0.26,4.19,23.81
4435,1.83,3.66,1.91,1.32,0.07,4.27,18.91
4436,0.75,3.64,2.16,0.29,0.69,10.23,13.49
4437,1.72,2.86,2.59,1.25,0.33,1.34,5.5
4438,1.7,1.22,1.06,0.57,0.16,8.84,-4.24
4439,1.88,3.8,0.89,1.39,0.18,13.95,-3.73
4440,0.57,3.34,0.52,0.85,0.02,13.86,20.73
4441,1.65,3.87,2.12,0.4,0.3,14.86,29.82
4442,1.32,3.88,2.46,1.49,0.28,12.54,28.29
4443,1.31,1.76,1.17,0.47,0.48,3.95,16.91
4444,1.02,0.39,0,0.56,0.48,2.48,-3.43
4445,1.68,2.02,2.72,0.89,0.68,0.9,-2.41
4446,1.14,0.49,2.17,0.23,0.51,4.95,2.25
4447,1.04,1.96,2.66,1.27,0.81,14.17,3.69
4448,1.94,2.2,2.63,0.79,0.87,8.45,10.22
4449,1.19,2.31,1.47,0.66,0.55,5.15,3.04
4450,1.69,0.04,2.26,0.77,0.85,0.09,7.1
